,index,x0,iata,latitude,longitude,country,state,region,hub
236,236,0.9260823189033751,BQK,31.25888889,-81.46638889,US,GA,east,no
237,237,0.6651789117793206,GNV,29.68972222,-82.27583333,US,FL,east,no
238,238,0.7647812545895594,MGM,32.3,-86.39111111,US,AL,centre,no
239,239,0.824282032591742,SHV,32.44694444,-93.82555556,US,LA,centre,no
240,240,0.6362441752716891,XNA,36.28194444,-94.30694444,US,AR,centre,no
241,241,0.01903645624047655,AHN,33.94833333,-83.32694444,US,GA,east,no
242,242,0.0012361643574185087,BTR,30.53166667,-91.15055556,US,LA,centre,no
243,243,0.9976745184955546,FYV,36.00361111,-94.17,US,AR,centre,no
244,244,0.9987256526405963,GTR,33.45027778,-88.59138889,US,MS,centre,no
245,245,0.5604772880808522,MCN,32.69583333,-83.64916667,US,GA,east,no
246,246,0.996612833823376,MKL,35.60138889,-88.91527778,US,TN,east,no
247,247,0.8475823168223029,TCL,33.22111111,-87.61083333,US,AL,centre,no
248,248,0.9982143148379862,AIA,42.05166667,-102.80666667,US,NE,centre,no
249,249,0.024574898577391573,BFF,41.87527778,-103.60111111,US,NE,centre,no
250,250,0.5182967463902453,PIR,44.38361111,-100.28416667,US,SD,centre,no
251,251,0.0006914721505764857,AL4,31.30888889,-86.39388889,US,AL,centre,no
252,252,0.0803121331511969,ART,43.99083333,-76.02138889,US,NY,east,no
253,253,0.187611273578411,AVP,41.33916667,-75.72583333,US,PA,east,no
254,254,0.9990981829152014,BTV,44.47277778,-73.15305556,US,VT,east,no
255,255,0.9413476792086476,CHO,38.14138889,-78.45305556,US,VA,east,no
256,256,0.3025845919278199,JAN,32.30972222,-90.07583333,US,MS,centre,no
257,257,0.31785172745078116,MBS,43.53166667,-84.08166667,US,MI,east,no
258,258,0.7635552824764772,MLB,28.1025,-80.64305556,US,FL,east,no
259,259,0.7497680784712486,MSS,44.93777778,-74.84666667,US,NY,east,no
260,260,0.47352870767100397,OAJ,34.83027778,-77.61166667,US,NC,east,no
261,261,0.08592785201396803,OGS,44.68166667,-75.46583333,US,NY,east,no
262,262,0.0029912472612901,PNS,30.47333333,-87.1875,US,FL,east,no
263,263,0.39006769005610775,RST,43.91027778,-92.49638889,US,MN,centre,no
264,264,0.3773985372767376,TVC,44.74,-85.58583333,US,MI,east,no
265,265,0.6233704582860408,FAR,46.91555556,-96.81472222,US,ND,centre,no
266,266,0.9983100929769262,HUF,39.45444444,-87.3075,US,IN,east,no
267,267,0.4675593769982493,MWA,37.75194444,-89.01638889,US,IL,east,no
268,268,0.00140622402783659,ALS,37.43666667,-105.86666667,US,CO,west,no
269,269,0.002343708307765228,ALW,46.09472222,-118.29111111,US,WA,west,no
270,270,0.9982374888504789,LAW,34.56972222,-98.41611111,US,OK,centre,no
271,271,0.4728601819531699,ANB,33.59027778,-85.85583333,US,AL,centre,no
272,272,0.0014937078646513147,MTO,39.47861111,-88.27833333,US,IL,east,no
273,273,0.9986182954236802,PAE,47.90833333,-122.28138889,US,WA,west,no
274,274,0.242388871729338,AND,34.49361111,-82.71,US,SC,east,no
275,275,0.1703122227956667,BED,42.47083333,-71.29,US,MA,east,no
