,index,x0,w,sigma,c,t,iata,latitude,longitude,country,state,region,hub
244,244,0.8419674392148861,0.08997384730742158,0.23279385111908898,0.560914539601102,65.15383031619264,GTR,33.45027778,-88.59138889,US,MS,centre,no
245,245,0.6109748518832072,0.02490355622615481,0.23279385111908898,0.560914539601102,65.15383031619264,MCN,32.69583333,-83.64916667,US,GA,east,no
246,246,0.6151196628924396,0.020893033232802047,0.23279385111908898,0.560914539601102,65.15383031619264,MKL,35.60138889,-88.91527778,US,TN,east,no
247,247,0.8764923913681392,0.07444224484145104,0.23279385111908898,0.560914539601102,65.15383031619264,TCL,33.22111111,-87.61083333,US,AL,centre,no
248,248,0.595615135481364,0.013126007581681289,0.23279385111908898,0.560914539601102,65.15383031619264,AIA,42.05166667,-102.80666667,US,NE,centre,no
249,249,0.37702791182905065,0.03388966140807197,0.23279385111908898,0.560914539601102,65.15383031619264,BFF,41.87527778,-103.60111111,US,NE,centre,no
250,250,0.39077334647355166,0.02981375611206621,0.23279385111908898,0.560914539601102,65.15383031619264,PIR,44.38361111,-100.28416667,US,SD,centre,no
251,251,0.6486410099613962,0.009155383771582627,0.23279385111908898,0.560914539601102,65.15383031619264,AL4,31.30888889,-86.39388889,US,AL,centre,no
252,252,0.4650870722291604,0.009581720857235021,0.23279385111908898,0.560914539601102,65.15383031619264,ART,43.99083333,-76.02138889,US,NY,east,no
253,253,0.9327740681109853,0.2338855762396771,0.23279385111908898,0.560914539601102,65.15383031619264,AVP,41.33916667,-75.72583333,US,PA,east,no
254,254,0.9266207904048303,0.3343481275773994,0.23279385111908898,0.560914539601102,65.15383031619264,BTV,44.47277778,-73.15305556,US,VT,east,no
255,255,0.8202015395516632,0.22436168312539068,0.23279385111908898,0.560914539601102,65.15383031619264,CHO,38.14138889,-78.45305556,US,VA,east,no
256,256,0.8789923939215277,0.9006854853285248,0.23279385111908898,0.560914539601102,65.15383031619264,JAN,32.30972222,-90.07583333,US,MS,centre,no
257,257,0.9265128550855586,0.29221906607963477,0.23279385111908898,0.560914539601102,65.15383031619264,MBS,43.53166667,-84.08166667,US,MI,east,no
258,258,0.9432065396048113,0.2941174023091942,0.23279385111908898,0.560914539601102,65.15383031619264,MLB,28.1025,-80.64305556,US,FL,east,no
259,259,0.3629034727942502,0.006270885662567568,0.23279385111908898,0.560914539601102,65.15383031619264,MSS,44.93777778,-74.84666667,US,NY,east,no
260,260,0.9353834324036381,0.1886523136538648,0.23279385111908898,0.560914539601102,65.15383031619264,OAJ,34.83027778,-77.61166667,US,NC,east,no
261,261,0.46355851468789294,0.006087496986773127,0.23279385111908898,0.560914539601102,65.15383031619264,OGS,44.68166667,-75.46583333,US,NY,east,no
262,262,0.9265167064977634,0.41897417368605766,0.23279385111908898,0.560914539601102,65.15383031619264,PNS,30.47333333,-87.1875,US,FL,east,no
263,263,0.9021159076393186,0.23109424834122835,0.23279385111908898,0.560914539601102,65.15383031619264,RST,43.91027778,-92.49638889,US,MN,centre,no
264,264,0.9305075019976881,0.35480804811587374,0.23279385111908898,0.560914539601102,65.15383031619264,TVC,44.74,-85.58583333,US,MI,east,no
265,265,0.2992160776126655,0.5730243305384136,0.23279385111908898,0.560914539601102,65.15383031619264,FAR,46.91555556,-96.81472222,US,ND,centre,no
266,266,0.5429590611651672,0.02890480054244161,0.23279385111908898,0.560914539601102,65.15383031619264,HUF,39.45444444,-87.3075,US,IN,east,no
267,267,0.6387427158359111,0.03688186337484325,0.23279385111908898,0.560914539601102,65.15383031619264,MWA,37.75194444,-89.01638889,US,IL,east,no
