,index,x0,w,sigma,c,t,iata,latitude,longitude,country,state,region,hub
52,52,-12.089047514130153,0.15151423510830506,0.2514865541008847,0.4841483834760242,70.68591703799864,PUB,38.29277778,-104.49611111,US,CO,west,no
53,53,47.87621278617697,1.0605255705152035,0.2514865541008847,0.4841483834760242,70.68591703799864,RIC,37.50527778,-77.31972222,US,VA,east,no
54,54,46.66798962775972,0.4351701178126994,0.2514865541008847,0.4841483834760242,70.68591703799864,ROA,37.32472222,-79.97638889,US,VA,east,no
55,55,68.65309908716495,0.9039516768009502,0.2514865541008847,0.4841483834760242,70.68591703799864,RSW,26.53611111,-81.755,US,FL,east,no
56,56,18.026006020074067,0.3730776308270597,0.2514865541008847,0.4841483834760242,70.68591703799864,SFB,28.775,-81.24027778,US,FL,east,no
57,57,48.3512810213339,0.42437537318575574,0.2514865541008847,0.4841483834760242,70.68591703799864,SRQ,27.39388889,-82.55416667,US,FL,east,no
58,58,27.273918028542155,1.6954284775834998,0.2514865541008847,0.4841483834760242,70.68591703799864,STL,38.74722222,-90.36444444,US,MO,centre,no
59,59,-46.40982894663803,1.5409787271862128,0.2514865541008847,0.4841483834760242,70.68591703799864,TUL,36.19777778,-95.88972222,US,OK,centre,no
60,60,47.70027417892183,1.0937872165842792,0.2514865541008847,0.4841483834760242,70.68591703799864,UTM,34.68083333,-90.34638889,US,MS,centre,no
61,61,49.70059232595552,0.4264313854311674,0.2514865541008847,0.4841483834760242,70.68591703799864,VPS,30.48333333,-86.52527778,US,FL,east,no
62,62,51.19117730404553,0.09102065665712031,0.2514865541008847,0.4841483834760242,70.68591703799864,ABI,32.40944444,-99.67972222,US,TX,centre,no
63,63,-40.90402649327784,1.0507365404996474,0.2514865541008847,0.4841483834760242,70.68591703799864,ELP,31.80666667,-106.37722222,US,TX,centre,no
64,64,-38.88510866167427,0.39786306361275736,0.2514865541008847,0.4841483834760242,70.68591703799864,ENV,40.71861111,-114.03388889,US,UT,west,no
65,65,-5.46001404476069,0.04724379608325122,0.2514865541008847,0.4841483834760242,70.68591703799864,GGG,32.38666667,-94.71527778,US,TX,centre,no
66,66,-37.87682903862219,1.255486355822252,0.2514865541008847,0.4841483834760242,70.68591703799864,IFP,35.16444444,-114.56527778,US,AZ,west,no
67,67,87.88138054449009,0.08802674909790317,0.2514865541008847,0.4841483834760242,70.68591703799864,SJT,31.35972222,-100.49444444,US,TX,centre,no
68,68,-38.846878935055535,1.544465938628028,0.2514865541008847,0.4841483834760242,70.68591703799864,SLC,40.78416667,-111.96694444,US,UT,west,no
69,69,-35.28048686601147,0.11154407252495185,0.2514865541008847,0.4841483834760242,70.68591703799864,SMO,34.01611111,-118.45083333,US,CA,west,no
