,index,x0,x1,w,sigma,c,t,iata,latitude,longitude,country,state,region,hub
382,382,0.19781852262255786,0.34856831125517723,0.01578910216688657,0.5677354772748359,0.42862820352776937,161.42496229148412,VWE,47.86583333,-119.94277778,US,WA,west,no
383,383,0.41119445022542866,0.546479855853401,0.020018413856964977,0.5677354772748359,0.42862820352776937,161.42496229148412,BFK,39.70166667,-104.75166667,US,CO,west,no
384,384,0.2643535123292609,0.849941481486557,0.06763759062918293,0.5677354772748359,0.42862820352776937,161.42496229148412,SMX,34.905,-120.45777778,US,CA,west,no
385,385,0.3972961225298106,0.5049913798854924,0.008099157214549022,0.5677354772748359,0.42862820352776937,161.42496229148412,BFM,30.62638889,-88.06805556,US,AL,centre,no
386,386,0.7814566946835989,0.1908421818007986,0.11939158188683811,0.5677354772748359,0.42862820352776937,161.42496229148412,BGM,42.20138889,-75.96916667,US,NY,east,no
387,387,0.24100609926415884,0.1108653240628723,0.11606984580485175,0.5677354772748359,0.42862820352776937,161.42496229148412,IAG,43.10722222,-78.94555556,US,NY,east,no
388,388,0.4348073203829304,0.23346781498613345,0.0547963181125523,0.5677354772748359,0.42862820352776937,161.42496229148412,ILG,39.67833333,-75.6075,US,DE,east,no
389,389,0.224815725838554,0.7949271399306743,0.0319707010481933,0.5677354772748359,0.42862820352776937,161.42496229148412,STP,44.93444444,-93.06,US,MN,centre,no
390,390,0.7471915976954829,0.230087928928057,0.012238742600282104,0.5677354772748359,0.42862820352776937,161.42496229148412,HKY,35.74055556,-81.39,US,NC,east,no
391,391,0.8787614498422364,0.2471496396405996,0.1381751016656762,0.5677354772748359,0.42862820352776937,161.42496229148412,HTS,38.36694444,-82.55611111,US,WV,east,no
392,392,0.3819592301885572,0.5299123986443665,0.013829313301316298,0.5677354772748359,0.42862820352776937,161.42496229148412,BID,41.16666667,-71.57916667,US,RI,east,no
393,393,0.3444917247435599,0.2436478144425705,0.02018016954340161,0.5677354772748359,0.42862820352776937,161.42496229148412,BLM,40.18666667,-74.125,US,NJ,east,no
394,394,0.4088816161271225,0.6313068472044074,0.007833807778104539,0.5677354772748359,0.42862820352776937,161.42496229148412,WST,41.35222222,-71.80416667,US,RI,east,no
395,395,0.3457849852919071,0.6005778145376823,0.019995645144305147,0.5677354772748359,0.42862820352776937,161.42496229148412,HOP,36.67277778,-87.49166667,US,KY,centre,no
396,396,0.1710459470994031,0.15550742709277712,0.16301654936581758,0.5677354772748359,0.42862820352776937,161.42496229148412,PSM,43.07777778,-70.82333333,US,NH,east,no
397,397,0.23775784388592172,0.3812862331030563,0.02119404541212771,0.5677354772748359,0.42862820352776937,161.42496229148412,SKF,29.38,-98.58388889,US,TX,centre,no
398,398,0.37727449825564374,0.41388751112769495,0.03132484593569158,0.5677354772748359,0.42862820352776937,161.42496229148412,VOK,43.93833333,-90.26833333,US,WI,centre,no
399,399,0.20552985115031,0.8771019987576291,0.08502005467576398,0.5677354772748359,0.42862820352776937,161.42496229148412,FLG,35.13777778,-111.67166667,US,AZ,west,no
400,400,0.09175672130280314,0.5667090842184552,0.11822945199857202,0.5677354772748359,0.42862820352776937,161.42496229148412,GCC,44.35138889,-105.525,US,WY,west,no
401,401,0.1319060545604101,0.46817450220024937,0.03716780360261889,0.5677354772748359,0.42862820352776937,161.42496229148412,GDV,47.13888889,-104.80694444,US,MT,west,no
402,402,0.1559477358760595,0.4491934695185675,0.047211708120288076,0.5677354772748359,0.42862820352776937,161.42496229148412,GGW,48.21277778,-106.61555556,US,MT,west,no
403,403,0.11395472569705466,0.42801120475945026,0.04647316516045825,0.5677354772748359,0.42862820352776937,161.42496229148412,HVR,48.54444444,-109.76111111,US,MT,west,no
404,404,0.08934931963657682,0.5611595524890768,0.049949086269476556,0.5677354772748359,0.42862820352776937,161.42496229148412,LWT,47.05111111,-109.47111111,US,MT,west,no
405,405,0.13796398015878014,0.4451110804290354,0.051555563511114205,0.5677354772748359,0.42862820352776937,161.42496229148412,MLS,46.43055556,-105.88055556,US,MT,west,no
406,406,0.16250205140436239,0.4540895106122277,0.03492105415938719,0.5677354772748359,0.42862820352776937,161.42496229148412,OLF,48.09472222,-105.56638889,US,MT,west,no
407,407,0.1280507180689301,0.4084735349950479,0.0635856953183165,0.5677354772748359,0.42862820352776937,161.42496229148412,SHR,44.77416667,-106.97722222,US,WY,west,no
408,408,0.21047867638979442,0.8398509029547611,0.15612592201773598,0.5677354772748359,0.42862820352776937,161.42496229148412,CPR,42.90861111,-106.4625,US,WY,west,no
409,409,0.4186126430769548,0.6825227528813428,0.00775254437087888,0.5677354772748359,0.42862820352776937,161.42496229148412,DWH,30.06388889,-95.55972222,US,TX,centre,no
410,410,0.4254981165580871,0.4949323778147932,0.03206686608757497,0.5677354772748359,0.42862820352776937,161.42496229148412,BJI,47.50972222,-94.93472222,US,MN,centre,no
411,411,0.271515237852504,0.3508649962856405,0.03440495529299727,0.5677354772748359,0.42862820352776937,161.42496229148412,SLK,44.38277778,-74.20666667,US,NY,east,no
412,412,0.12093585048812314,0.5133690221897548,0.034379148879715785,0.5677354772748359,0.42862820352776937,161.42496229148412,DQR,35.98861111,-113.81,US,AZ,west,no
413,413,0.274902665706927,0.4930117346603047,0.008312055146258095,0.5677354772748359,0.42862820352776937,161.42496229148412,DTH,36.46388889,-116.88055556,US,CA,west,no
414,414,0.10291625149447757,0.5194204683646692,0.13934243403182905,0.5677354772748359,0.42862820352776937,161.42496229148412,GCN,35.95194444,-112.1475,US,AZ,west,no
415,415,0.3002371296255808,0.33614849497138494,0.015406426877606108,0.5677354772748359,0.42862820352776937,161.42496229148412,MYH,36.73388889,-111.75333333,US,AZ,west,no
416,416,0.4217107145398054,0.2763247057879376,0.008328560378544028,0.5677354772748359,0.42862820352776937,161.42496229148412,SDX,34.84861111,-111.78777778,US,AZ,west,no
417,417,0.16636619398557814,0.8783923900196644,0.05347269819393828,0.5677354772748359,0.42862820352776937,161.42496229148412,SCK,37.89444444,-121.23916667,US,CA,west,no
418,418,0.25708380675245246,0.47105003482423896,0.04524000490086321,0.5677354772748359,0.42862820352776937,161.42496229148412,BLV,38.54277778,-89.85111111,US,IL,east,no
419,419,0.4276175737354433,0.17078771160790315,0.08942085727498683,0.5677354772748359,0.42862820352776937,161.42496229148412,BMG,39.14,-86.61472222,US,IN,east,no
420,420,0.7814831394234039,0.10254930173179878,0.19742925105462442,0.5677354772748359,0.42862820352776937,161.42496229148412,ELM,42.16083333,-76.89527778,US,NY,east,no
421,421,0.6976073011609659,0.20569458936566923,0.1821522917470164,0.5677354772748359,0.42862820352776937,161.42496229148412,ITH,42.49027778,-76.45805556,US,NY,east,no
422,422,0.8497320253741496,0.14565365659870735,0.10402603608240485,0.5677354772748359,0.42862820352776937,161.42496229148412,MQT,46.35361111,-87.39527778,US,MI,east,no
